cleaned_med_id,inv_min,inv_max,mean_first_count,mean_last_count,total_picks,mean_picks,median_picks,variance_picks,std_dev_picks,range_picks,iqr_picks,skewness_picks,kurtosis_picks,percent_days_w_pick,days_of_data,days_w_stockout,days_w_scarce_inv,days_w_excess_inv,mean_inventory,inv_turnover_ratio,days_sales_inventory,stockout_rate,excess_rate,scarce_rate,coef_var
000019,50.0,150.0,138.38199513381994,138.5182481751825,1640.0,1.9951338199513382,0.0,11.19364255210695,3.3456901458603348,25.0,5.0,2.4629610410045975,8.473754129628668,0.44282238442822386,822.0,8.0,22.0,310.0,138.45012165450123,11.845421155299368,69.3939024390244,0.009732360097323601,0.3771289537712895,0.0267639902676399,1.6769251828641434
000023,5.0,5.0,4.770642201834862,4.81651376146789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,109.0,4.0,4.0,0.0,4.793577981651376,0.0,,0.03669724770642202,0.0,0.03669724770642202,
000033,0.0,0.0,99.91373025516404,99.9003645200486,1559.0,1.8942891859052249,0.0,40.11411576541819,6.333570538441819,102.0,2.0,9.029437817833573,108.0572270531698,0.41676792223572295,823.0,4.0,0.0,819.0,99.90704738760633,15.604504794857917,52.741180243745994,0.004860267314702308,0.9951397326852977,0.0,3.3435077313262456
000076,2.0,2.0,2.2140221402214024,2.2140221402214024,327815.0,403.2164821648216,0.0,132174759.18706796,11496.728194885185,327808.0,0.0,28.460520574465647,808.0012314222154,0.00984009840098401,813.0,1.0,12.0,187.0,2.2140221402214024,148063.1083333333,0.005490901880633895,0.0012300123001230013,0.23001230012300122,0.014760147601476014,28.512545254005023
000114,68.15403422982885,102.23105134474328,383.11491442542786,383.12713936430316,1396.0,1.706601466992665,0.0,271.33364057781915,16.472208126957938,325.0,0.0,17.11127044014953,316.2274896553272,0.12469437652811736,818.0,2.0,29.0,656.0,383.1210268948655,3.643757199426918,224.49355300859597,0.0024449877750611247,0.8019559902200489,0.035452322738386305,9.65205318614011
000115,35.55420219244824,60.95006090133983,111.82338611449453,111.67965895249695,2522.0,3.071863580998782,0.0,296.4619024984404,17.218069069975307,200.0,0.0,8.812046739589968,86.26884238838599,0.19244823386114496,821.0,0.0,65.0,503.0,111.75152253349574,22.567925186380084,36.379064234734344,0.0,0.6126674786845311,0.07917174177831912,5.605089098512977
000141,53.037667071688944,84.86026731470231,193.87241798298908,193.56379100850546,102723.0,124.81530984204132,0.0,12234278.627648532,3497.7533686137067,100346.0,0.0,28.635355850428635,817.9894859701429,0.17739975698663427,823.0,3.0,76.0,512.0,193.71810449574727,530.2705199774196,1.5520380051205669,0.0036452004860267314,0.6221142162818954,0.09234507897934387,28.023432165815645
000215,10.0,110.0,169.16239316239316,169.05982905982907,845.0,1.0317460317460319,0.0,19.544223231264795,4.42088489233375,109.0,0.0,18.46241052361499,435.40461111930466,0.21001221001221002,819.0,5.0,10.0,474.0,169.11111111111111,4.996714848883048,163.9076923076923,0.006105006105006105,0.5787545787545788,0.01221001221001221,4.284857664877326
000222,124.78102189781022,259.5620437956204,279.71046228710463,280.32238442822387,3098.0,3.7688564476885644,0.0,279.0938888246782,16.706103340536302,207.0,0.0,7.115235223959723,56.91186375353392,0.20194647201946472,822.0,0.0,16.0,338.0,280.0164233576643,11.063636778343291,74.29744996772112,0.0,0.41119221411192214,0.019464720194647202,4.432671706236553
000223,20.0,50.0,67.45031446540881,67.37106918238993,230.0,0.2893081761006289,0.0,5.331812493069088,2.3090717817056032,30.0,0.0,10.190835866774673,111.58952519529828,0.028930817610062894,795.0,1.0,6.0,531.0,67.41069182389937,3.4119216666822165,233.00652173913045,0.0012578616352201257,0.6679245283018868,0.007547169811320755,7.981356810678063
000230,8.063882063882064,40.319410319410316,24.77027027027027,24.804668304668304,279.0,0.34275184275184273,0.0,3.2120199703225527,1.7922109168071019,30.0,0.0,9.049554269475083,112.223777841846,0.07002457002457002,814.0,3.0,27.0,2.0,24.787469287469285,11.25568716855826,72.31899641577061,0.0036855036855036856,0.002457002457002457,0.033169533169533166,5.22888776444796
000231,11.0,20.0,17.420382165605094,17.471337579617835,87.0,0.2770700636942675,0.0,3.3127632730306664,1.82009979754701,25.0,0.0,9.781343297625927,114.79141610712314,0.044585987261146494,314.0,4.0,5.0,54.0,17.445859872611464,4.986856516976999,62.96551724137931,0.012738853503184714,0.17197452229299362,0.01592356687898089,6.569095821031737
000239,10.0,110.0,77.79701120797012,77.79701120797012,105.0,0.1307596513075965,0.0,1.1113095219609757,1.0541866637180417,21.0,0.0,12.626018008911016,208.21632711908117,0.023661270236612703,803.0,5.0,5.0,0.0,77.79701120797012,1.349666245137744,594.9619047619049,0.0062266500622665,0.0,0.0062266500622665,8.062018009196072
000240,25.0,125.0,123.19805589307411,123.02187120291616,30.0,0.03645200486026731,0.0,0.17141902658660824,0.41402780895322505,7.0,0.0,12.907427376236658,178.85295181241707,0.009720534629404616,823.0,5.0,5.0,166.0,123.10996354799514,0.24368458194128476,3377.3166666666666,0.006075334143377886,0.20170109356014582,0.006075334143377886,11.358162892283476
000241,10.0,110.0,160.41412911084043,160.5359317904994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,821.0,1.0,1.0,498.0,160.47503045066992,0.0,,0.001218026796589525,0.6065773447015834,0.001218026796589525,
000242,5.0,105.0,121.53846153846153,121.66056166056165,18.0,0.02197802197802198,0.0,0.22201026357505557,0.47117965106215653,13.0,0.0,25.96024536949147,703.8077293231079,0.003663003663003663,819.0,6.0,6.0,99.0,121.5995115995116,0.14802691033236268,5532.777777777777,0.007326007326007326,0.12087912087912088,0.007326007326007326,21.43867412332812
000247,22.07168894289186,57.38639125151883,29.262454434993924,29.273390036452003,2470.0,3.0012150668286757,1.0,23.13990119821554,4.8103951187210745,34.0,3.0,2.722525482342516,8.245976025363474,0.6585662211421628,823.0,4.0,306.0,115.0,29.267922235722963,84.39273482096523,9.752024291497975,0.004860267314702308,0.13973268529769137,0.3718104495747266,1.6028158634443095
000253,50.0,70.0,97.85662211421628,97.8554070473876,2574.0,3.1275820170109356,0.0,59.033581372522924,7.683331398067047,51.0,2.0,3.4885170109692436,12.340246522933892,0.49696233292831105,823.0,0.0,48.0,570.0,97.85601458080194,26.303952915174055,31.288073038073037,0.0,0.692588092345079,0.0583232077764277,2.4566362628629292
000263,15.0,115.0,86.19927095990279,86.04252733900364,2600.0,3.1591737545565004,2.0,38.16076427999161,6.177439945478354,104.0,4.0,7.9678193631420315,101.08810803072218,0.6221142162818954,823.0,13.0,37.0,166.0,86.12089914945321,30.1901167507319,27.260576923076922,0.015795868772782502,0.20170109356014582,0.04495747266099635,1.955397336587956
000265,10.0,110.0,86.93074119076549,86.80194410692589,2403.0,2.919805589307412,2.0,13.168743514469938,3.6288763432321494,30.0,4.0,2.3608815998039177,8.95319217547614,0.6549210206561361,823.0,12.0,35.0,260.0,86.86634264884569,27.66318837336168,29.750728256346235,0.014580801944106925,0.3159173754556501,0.0425273390036452,1.2428486185934493
000266,536.7861482381531,1320.7168894289186,937.8626974483597,935.9744835965978,102546.0,124.60024301336574,118.0,4600.464087532113,67.82672104364262,1089.0,70.0,4.521637353467358,53.16853437609979,0.9987849331713244,823.0,0.0,122.0,126.0,936.9185905224788,109.45027779074653,7.519396173424609,0.0,0.15309842041312272,0.14823815309842042,0.5443546449292793
000266P01,5.0,8.0,5.804136253041363,5.804136253041363,357.0,0.4343065693430657,0.0,0.5212576793477779,0.7219817721714156,5.0,1.0,1.8720866838584511,4.168606188986667,0.3236009732360097,822.0,19.0,197.0,50.0,5.804136253041363,61.50785998742402,13.364145658263306,0.023114355231143552,0.06082725060827251,0.2396593673965937,1.6623781981089736
000267,289.02794653705956,488.5419198055893,363.3523693803159,363.63791008505467,34660.0,42.1142162818955,21.0,3322.4613913254284,57.64079624125111,320.0,30.0,2.4036871456491755,5.575366437353509,0.9307411907654921,823.0,0.0,175.0,88.0,363.4951397326853,95.35203146179342,8.631174264281594,0.0,0.10692588092345079,0.212636695018226,1.3686778795888537
000268,43.256379100850545,216.28189550425273,160.38153098420412,161.64884568651277,3421.0,4.1567436208991495,2.0,106.21992709599026,10.30630521069458,112.0,6.0,7.880108268461468,72.69640902419744,0.5297691373025516,823.0,5.0,10.0,104.0,161.01518833535846,21.246442868947405,38.73589593686057,0.006075334143377886,0.12636695018226002,0.012150668286755772,2.479418061502964
000269,83.75647668393782,183.8860103626943,164.74093264248705,165.5440414507772,206.0,0.266839378238342,0.0,1.1816226823383937,1.0870246926074834,10.0,0.0,4.827899282060675,26.542356065898918,0.06994818652849741,772.0,0.0,3.0,341.0,165.14248704663214,1.2474076398148872,618.8834951456312,0.0,0.4417098445595855,0.0038860103626943004,4.0737041878299864
